ensmbl_id,c3h_hej_bsl_0days_avg,c3h_hej_flt_25days_avg,c3h_hej_flt_75days_avg,c3h_hej_gc_25days_avg,c3h_hej_gc_75days_avg,c3h_hej_viv_25days_avg,c3h_hej_viv_75days_avg
ENSMUSG00000000738,3264.4413214060132,3275.1714868740382,3456.868515045962,2805.217555561184,2952.432955685928,2812.972154728298,3206.6038887558416
ENSMUSG00000000739,34.0180324837363,21.1624363016543,35.47932397027103,25.35769536479179,13.887616879687803,26.713650555305662,23.370766291333886
ENSMUSG00000000740,10955.561455270154,8433.295216706185,8358.31040092769,8016.077181287694,7379.26898047927,7469.002476483363,7379.3251490021985
ENSMUSG00000000743,3106.5221868065014,2688.235562575494,3019.305367970781,2544.5786914666633,2331.6879072978613,2555.28964386573,2676.2458107187476
ENSMUSG00000000751,2349.0169281858766,2479.278289513092,2357.828805499902,2270.988055969934,2285.5644331647536,2608.155997713312,2481.472769020496
ENSMUSG00000000753,114.7221260894892,104.8154223304833,143.9190704673867,115.44101331915485,66.3658603345213,120.04488844617569,121.12525170985805
ENSMUSG00000000759,912.1597563567664,876.4336489678429,867.2747682531083,941.7851276124954,906.9169546476436,919.2769076250825,846.2100869162174
ENSMUSG00000000766,2.020691279951398,,0.730799631406034,0.658882899378242,0.678784674832406,,
ENSMUSG00000000776,524.7577666445878,496.7707842981466,501.51199862998584,438.0685706696734,416.16661965893917,504.15139746642,460.5624038868864
ENSMUSG00000000782,44.143018368483034,53.596085865032215,46.939674333835185,52.672865981898255,43.05799847903264,61.17698023096489,43.57271878659124
ENSMUSG00000000787,22663.443547676525,23331.6912102654,26225.7812272352,31233.549805184863,30957.094373351523,25732.735418397857,28095.36823663494
ENSMUSG00000000791,4.0954596653784865,7.206282740669425,8.084353874007558,7.321647135406219,3.3971142426063765,7.279356971863672,3.389303743702727
ENSMUSG00000000792,3.6264621215694324,2.958645168175156,4.69779663376102,5.224912860926885,2.7967209900825014,2.5318354053357304,3.077476576485508
ENSMUSG00000000794,149.1176462842917,180.0836867142292,139.8705835283896,172.027457301737,133.003028797386,168.3605757851048,141.8756826214038
ENSMUSG00000000804,6499.128554141739,6986.646568041314,7787.35597134065,7544.556978032083,8276.130093612752,7264.776251670788,7433.153714282838
ENSMUSG00000000805,2037.5098407005357,1793.21738422186,1995.0649931238881,1624.120225653438,1638.9393508891721,1449.575458908436,1487.6277708880357
ENSMUSG00000000811,927.9064796394533,1159.436383288877,1063.572001627647,1175.8273489525286,1043.563954525148,1016.1713865461409,1093.8371521539157
ENSMUSG00000000817,3.9239362422678874,5.528648999297024,4.822542998448376,6.7645797120661495,9.87809038236876,4.410538305799254,7.4929698191230205
ENSMUSG00000000823,1353.2203717229706,1337.9782339171545,1334.545559587939,1203.490450798386,947.3761553533641,1327.0163755391015,1141.043223643545
