Protein_ID,C3H-HeJ_BSL_AVG,C3H-HeJ_FLT_AVG,C3H-HeJ_GC_AVG,C3H-HeJ_VIV_AVG,C57-6J_BSL_AVG,C57-6J_FLT_AVG,C57-6J_GC_AVG,C57-6J_VIV_AVG
ENSMUSG00000000486,65.10141727299828,63.62415937214437,48.004423548086564,54.036911424068556,100.28460141898388,60.00998759489054,93.7979031136627,68.4349311303636
ENSMUSG00000000489,461.49647340758634,610.3483757962326,474.91229257924226,558.462164977761,627.72059313717,657.723716344922,632.6593884349011,694.4178981117025
ENSMUSG00000000530,824.5314037420932,835.1436270087322,676.958411651239,792.0646568436499,946.7649217751937,814.8123048754339,822.8205082270456,774.4777278033982
ENSMUSG00000000531,108.96041100043561,118.28437004135549,81.7910785256586,112.48703837272724,155.796670292853,105.56937554724925,118.36644905216976,123.5970569566421
ENSMUSG00000000532,2266.97696175285,2398.152852093112,2124.623426432178,2223.604357936874,2217.376849807152,2163.707004259465,2384.1583695783397,2059.921635166143
ENSMUSG00000000538,5091.415505677709,5144.027465968176,3812.0472411591536,4726.691561774393,5411.703398690835,5022.813308265792,5524.881176204256,4913.52103861781
ENSMUSG00000000555,259.00442830222386,320.38407566728654,202.79636853156478,264.4855217148791,238.03658132526158,273.4711491569199,250.71151406709345,248.5888917291627
ENSMUSG00000000561,1457.3034686549634,1333.660506714411,1442.78894416906,1371.101305749097,1454.6722124569756,1314.163745694227,1318.502381607269,1411.5478216290471
ENSMUSG00000000563,36484.583799998,31665.810051990567,45840.218162001765,35094.75687877818,31201.13795633129,30086.30076256405,30439.921719105798,30493.46107003928
ENSMUSG00000000567,12.722978841008873,18.681860820968385,16.19662287295327,19.719984849464307,38.247236294763994,55.62722763021534,44.697732327208335,43.69316923972085
ENSMUSG00000000568,1448.3165900823842,1906.7162135309168,1871.3532169809266,1517.0131704532191,1524.2618363007364,2062.01651110054,1486.468686234641,1596.2813489202258
ENSMUSG00000000579,206.167889498438,149.33803879791765,189.94913093928562,175.9731148671554,103.8129103909606,98.43337094013165,102.86746527528094,118.05462980254588
ENSMUSG00000000581,2183.3433406459244,1908.0131009592521,2139.29314933138,2041.439611978066,2511.8636903497277,2095.108321091363,2252.1827082225354,2356.187462112567
ENSMUSG00000000594,17318.975453065123,16385.58528673191,15694.36041651943,18292.82659290367,15688.732515698312,15269.866058902215,15126.71874175049,16249.710581235311
ENSMUSG00000000600,2238.780758541119,2114.653226769709,2733.770617323566,2439.975338092829,2068.7928441462886,2314.701196198547,2142.235970130817,2422.9595617909263
ENSMUSG00000000605,6012.272259531523,5879.300625525914,7043.532296956562,6542.306531361708,6012.834947955893,6135.580853983431,6157.988460831868,6373.889288821234
ENSMUSG00000000628,70.36358536985185,80.63270542093056,119.09046814514684,117.51088909342961,93.36863700918354,342.9410386373487,84.99872467661784,96.40841638971321
