Unnamed: 0_nan_nan_nan_nan,Mmus_C3H-HeJ_KDN_BSL_0days,Mmus_C3H-HeJ_KDN_FLT_25days,Mmus_C3H-HeJ_KDN_FLT_75days,Mmus_C3H-HeJ_KDN_GC_25days,Mmus_C3H-HeJ_KDN_GC_75days,Mmus_C3H-HeJ_KDN_VIV_25days,Mmus_C3H-HeJ_KDN_VIV_75days,Mmus_C57-6J_KDN_BSL_0days,Mmus_C57-6J_KDN_FLT_25days,Mmus_C57-6J_KDN_FLT_75days,Mmus_C57-6J_KDN_GC_25days,Mmus_C57-6J_KDN_GC_75days,Mmus_C57-6J_KDN_VIV_25days,Mmus_C57-6J_KDN_VIV_75days
ENSMUSG00000000126,51.81810646043665,55.87106823345901,60.100444322404385,42.24045708851166,42.49427316434604,53.008654691806804,43.32024758979282,77.70406944631607,70.50227206056964,62.52898749719752,68.46574565228995,63.24486164872275,74.56151067122164,68.09944314405121
ENSMUSG00000000127,877.9482521217346,870.4276789484493,862.3762242318965,1062.0432767779228,1075.9127531828049,919.2467284825913,981.6225178179957,841.7203355688183,954.2630243863401,893.6483596568062,843.8909445121619,987.081202181465,925.3290852542607,1001.5150335946888
ENSMUSG00000000131,1859.1539667039078,1859.6383450979622,1859.171312070674,1901.506781678506,1996.9665972400478,1759.345183028318,1668.503457838354,1806.2094063272955,1902.979832169276,1860.454305675668,1841.877981632042,1699.4894635896626,1549.036835595168,1619.63065610156
ENSMUSG00000000134,807.6884651431795,855.9022466744746,827.96418130394,737.1052929078094,588.359977129512,780.7855337945468,723.8253062572488,776.4773074520933,749.0037841829462,846.7368101724784,830.3190802297974,704.1094540890302,757.642158771807,659.1644234816712
ENSMUSG00000000142,128.81957347303316,119.10544313168876,130.51277003985805,128.2698802086748,84.64688705212498,153.14847800031256,88.91034967900724,156.53931973060085,170.9314981937814,162.49472481486944,178.79058991250218,115.39723090905292,158.2695997672933,141.2091393449199
ENSMUSG00000000148,587.1489831077794,621.1523586242804,598.2322742186172,545.1953179034742,452.4943470300788,567.076572661609,549.5931498488544,561.855300709802,540.9494089789114,571.8761916622,627.269690227265,455.29780991257,565.7635632737124,473.08775824657505
ENSMUSG00000000149,5687.793901696063,5241.706853505602,5191.846848915582,5082.935458124159,3976.848515017706,4993.7195143152585,4556.1793816412855,5159.108715743812,4912.264742971596,4993.91062278558,5571.945619571768,4274.793424311518,4515.999159451272,4392.247902067258
ENSMUSG00000000154,9862.645773032007,8405.346209988182,8509.465997978605,6699.859371821267,6382.22103784619,6672.521348660654,7478.169973524362,10214.823778951755,8475.023470395488,8302.051733605413,11467.442095413831,7483.229410551958,7625.705213296496,7278.232002794495
ENSMUSG00000000159,2389.8721373823387,2032.4441021534221,2127.628916480232,2237.412128705514,2386.906720665218,2183.34889678508,2416.78699747686,2330.989400248361,2028.2266134108963,1855.274159526264,2143.164861457032,2172.089124942345,2053.815019220904,2007.6522808210182
ENSMUSG00000000167,144.47658194729735,143.23351717013887,127.77926824877719,167.7554857305942,181.3398173631972,159.33819911764098,169.352715084269,122.25565640068817,133.64429316139856,125.02192324437263,95.2407063074022,124.07979876257072,142.33280620054768,142.97554463188806
ENSMUSG00000000168,6944.877809492913,7686.200902574502,7300.248486985709,7853.948155689302,8868.053880573823,8037.302380784128,9063.345365846533,7055.452931910373,7416.022527769897,7126.99296363344,6630.883546767984,7671.36190528874,7566.651127440736,7634.848390638038
ENSMUSG00000000171,14383.132944703377,11317.83443578997,12018.704114249791,13226.45297366646,14030.10193649822,11260.11343769358,12880.47026817598,14034.16165256969,12938.680424724622,9810.164238924544,13172.177807544422,12240.461804963776,11526.484580493434,11810.934232022188
ENSMUSG00000000184,1318.099371303819,1303.381181664688,1498.58507852073,1319.307470413112,1273.6710334465959,1514.7810084848682,1207.323068513834,1318.964736934009,1333.363505391874,1553.306852288658,1176.359083289974,1968.455766913975,1330.3919169732822,1274.4968719914582
